iter	Logloss
0	0.6888964844
1	0.6847861328
2	0.6807976074
3	0.6768521729
4	0.6730076904
5	0.669244873
6	0.6655725708
7	0.6620043945
8	0.6583725586
9	0.6550144043
10	0.6516322021
11	0.6482966309
12	0.6450463867
13	0.6418571167
14	0.6388349609
15	0.6358937988
16	0.6328804932
17	0.6299433594
18	0.6271004639
19	0.6243382568
20	0.6216407471
21	0.6189916992
22	0.6163776855
23	0.6138701172
24	0.611366333
25	0.6089422607
26	0.6065404053
27	0.6041924438
28	0.6019329834
29	0.5996956177
30	0.5975640869
31	0.5954448242
32	0.5932871704
33	0.5912462158
34	0.5892529297
35	0.5872684326
36	0.5853021851
37	0.5834313965
38	0.5816126099
39	0.5797904053
40	0.5780258179
41	0.5762594604
42	0.5745319824
43	0.5728746338
44	0.5712828979
45	0.5697312622
46	0.5681894531
47	0.5666495361
48	0.5651563721
49	0.5636889038
50	0.5621934814
51	0.560772522
52	0.5594155273
53	0.5580628052
54	0.5567608643
55	0.5554622803
56	0.5541893311
57	0.5529383545
58	0.5517069092
59	0.5504348145
60	0.5492717285
61	0.5481462402
62	0.5470211182
63	0.5459634399
64	0.5448783569
65	0.5438292236
66	0.5428097534
67	0.5418345947
68	0.5408997192
69	0.5399091797
70	0.5389613037
71	0.5380477295
72	0.5371463623
73	0.5362397461
74	0.5353156128
75	0.5345230713
76	0.5337006836
77	0.5328339844
78	0.5320092773
79	0.5312174072
80	0.5303835449
81	0.5296080322
82	0.5288378906
83	0.5281464844
84	0.5274377441
85	0.5267477417
86	0.5260632935
87	0.5253565063
88	0.5246568604
89	0.5239915771
90	0.5233779297
91	0.5227382812
92	0.5221165771
93	0.5215055542
94	0.5208430176
95	0.5203061523
96	0.5197458496
97	0.5191785889
98	0.5185759888
99	0.5180622559
100	0.5175537109
101	0.5170488281
102	0.5165545654
103	0.5159680176
104	0.515489502
105	0.5150166016
106	0.5144807129
107	0.5140559082
108	0.5135756836
109	0.513072876
110	0.5126386719
111	0.5121925659
112	0.5117574158
113	0.5113311462
114	0.510916687
115	0.5105311279
116	0.510150116
117	0.5097767639
118	0.5093645325
119	0.5089782104
120	0.5086150513
121	0.5081756287
122	0.5078027649
123	0.5074605103
124	0.5070922241
125	0.5067672424
126	0.5064427795
127	0.5061856384
128	0.5058685913
129	0.5055289612
130	0.5052139893
131	0.5049172363
132	0.5045726624
133	0.5042866821
134	0.5039859009
135	0.5037157288
136	0.5034093018
137	0.5031108398
138	0.5028192139
139	0.5025568542
140	0.5022965088
141	0.5020333862
142	0.5017702332
143	0.501519165
144	0.5012481689
145	0.500986084
146	0.5006885376
147	0.5004399719
148	0.5002410889
149	0.4999995422
150	0.4997807617
151	0.499562439
152	0.4993386841
153	0.4991107483
154	0.4989103394
155	0.4986831055
156	0.4984824829
157	0.4982119141
158	0.4980355225
159	0.4978382263
160	0.4975814514
161	0.4973860474
162	0.4972042847
163	0.4969851685
164	0.4967738647
165	0.4965923462
166	0.4963486328
167	0.4961916809
168	0.4959993286
169	0.4958369446
170	0.4956681519
171	0.4954450073
172	0.4952313232
173	0.4950510864
174	0.4948829651
175	0.4946595764
176	0.4945061035
177	0.4943155518
178	0.4941281738
179	0.4939111328
180	0.4937608643
181	0.4936228027
182	0.4934609985
183	0.4933021851
184	0.4931669922
185	0.4929935303
186	0.4928473511
187	0.492771637
188	0.4925774841
189	0.4923939209
190	0.4922321777
191	0.4920908813
192	0.4919452515
193	0.4918108826
194	0.4916488953
195	0.4915250549
196	0.4914246826
197	0.4913040466
198	0.4912197876
199	0.4911054687
200	0.490966217
201	0.4908380432
202	0.4906674194
203	0.4905187988
204	0.4903052368
205	0.4901200256
206	0.48995224
207	0.4898005066
208	0.4896920776
209	0.4895819092
210	0.4895411987
211	0.4894343872
212	0.4893092346
213	0.4891859741
214	0.4890710144
215	0.4889487915
216	0.488913269
217	0.4887876282
218	0.4886529846
219	0.4886093445
220	0.4885000916
221	0.4884165344
222	0.4882753906
223	0.4881348877
224	0.4880125732
225	0.4879031677
226	0.4877918091
227	0.4877134094
228	0.4876291504
229	0.4875429688
230	0.4874545898
231	0.4873487854
232	0.4872516174
233	0.4871150208
234	0.4870315857
235	0.4869003296
236	0.4868259277
237	0.4866872864
238	0.4865691833
239	0.4864628296
240	0.486316803
241	0.4861649475
242	0.4860270386
243	0.4859016724
244	0.4858091736
245	0.4857404175
246	0.4856260986
247	0.4855286255
248	0.4854419556
249	0.4853133545
250	0.485206543
251	0.4851336975
252	0.4850370483
253	0.4849397583
254	0.4848404541
255	0.4847429199
256	0.4846315308
257	0.4845625
258	0.4844651489
259	0.484369751
260	0.4842577209
261	0.4841550293
262	0.4841030884
263	0.4840126343
264	0.4838997192
265	0.4837626038
266	0.4836443787
267	0.4835498657
268	0.4834654541
269	0.4833569946
270	0.4832581177
271	0.4831487122
272	0.4830406189
273	0.4829637451
274	0.4828902588
275	0.4828148804
276	0.4827619324
277	0.4826567383
278	0.4825238953
279	0.482445343
280	0.4823119507
281	0.4822035522
282	0.482104248
283	0.4819980469
284	0.4819221191
285	0.4818604126
286	0.4817554932
287	0.481645874
288	0.4815529785
289	0.4815108032
290	0.481438446
291	0.4813163757
292	0.481237793
293	0.4811766052
294	0.4811018066
295	0.4809865723
296	0.4808990784
297	0.4807882385
298	0.480706543
299	0.480616272
300	0.4805007629
301	0.4804070435
302	0.4803169861
303	0.4802158508
304	0.4801099243
305	0.4800322266
306	0.479944519
307	0.4797762146
308	0.4797193298
309	0.4796532593
310	0.4795733643
311	0.4794739075
312	0.4793476562
313	0.4793007202
314	0.4792479553
315	0.4791300964
316	0.4790327148
317	0.4789561462
318	0.4788357239
319	0.4787026672
320	0.4786018677
321	0.4784921265
322	0.4783670044
323	0.4783045044
324	0.4782047119
325	0.4781289368
326	0.477999115
327	0.4779200134
328	0.4778419495
329	0.4777600708
330	0.477668335
331	0.4775629272
332	0.4775031738
333	0.4774054565
334	0.4773321228
335	0.4772854004
336	0.4772081909
337	0.4771482544
338	0.4770440674
339	0.4769808044
340	0.4769104004
341	0.4768391418
342	0.476732605
343	0.4766670227
344	0.4765559692
345	0.476444519
346	0.4763579712
347	0.4762609253
348	0.4761809692
349	0.4761364136
350	0.4760628052
351	0.475968811
352	0.4758845825
353	0.4758238525
354	0.475738739
355	0.4756839905
356	0.4756074219
357	0.4755390625
358	0.4754567871
359	0.4753630676
