iter	Passed	Remaining
0	3	3050
1	6	3245
2	10	3376
3	13	3470
4	17	3555
5	21	3610
6	25	3668
7	29	3717
8	34	3753
9	36	3641
10	40	3680
11	45	3733
12	50	3797
13	54	3837
14	59	3883
15	63	3924
16	68	3949
17	72	3970
18	77	3990
19	81	3998
20	85	4007
21	89	3975
22	93	3987
23	98	4017
24	103	4038
25	108	4069
26	114	4109
27	119	4131
28	124	4159
29	128	4156
30	133	4173
31	138	4187
32	144	4223
33	149	4239
34	154	4265
35	159	4275
36	164	4280
37	169	4291
38	174	4300
39	179	4305
40	182	4276
41	187	4279
42	192	4279
43	196	4279
44	201	4283
45	204	4245
46	209	4245
47	214	4255
48	220	4272
49	225	4277
50	230	4280
51	234	4274
52	238	4267
53	243	4259
54	247	4252
55	251	4242
56	255	4233
57	260	4230
58	264	4224
59	269	4216
60	273	4209
61	278	4208
62	282	4201
63	287	4198
64	291	4199
65	296	4195
66	300	4191
67	305	4184
68	309	4178
69	313	4171
70	318	4165
71	322	4160
72	327	4154
73	331	4148
74	335	4142
75	340	4134
76	344	4127
77	348	4119
78	353	4123
79	358	4120
80	362	4114
81	367	4110
82	371	4103
83	375	4099
84	380	4093
85	384	4087
86	389	4082
87	393	4076
88	397	4071
89	402	4066
90	406	4060
91	410	4054
92	415	4053
93	419	4047
94	424	4041
95	428	4035
96	432	4029
97	437	4023
98	441	4016
99	445	4011
100	450	4007
101	454	4001
102	458	3996
103	463	3990
104	467	3984
105	471	3977
106	476	3974
107	480	3967
108	484	3961
109	489	3956
110	493	3955
111	498	3950
112	502	3942
113	506	3939
114	511	3934
115	515	3928
116	519	3922
117	525	3926
118	529	3920
119	533	3914
120	538	3909
121	542	3903
122	546	3897
123	550	3891
124	555	3885
125	559	3881
126	563	3875
127	568	3870
128	572	3866
129	577	3861
130	581	3856
131	585	3853
132	590	3847
133	594	3841
134	598	3837
135	603	3830
136	607	3825
137	611	3820
138	615	3815
139	620	3809
140	624	3804
141	628	3799
142	633	3797
143	638	3794
144	642	3790
145	647	3785
146	651	3781
147	656	3776
148	660	3773
149	665	3769
150	669	3765
151	674	3761
152	678	3756
153	682	3751
154	687	3746
155	691	3742
156	696	3738
157	700	3733
158	705	3729
159	709	3723
160	713	3719
161	718	3714
162	722	3711
163	727	3706
164	731	3701
165	735	3696
166	740	3692
167	744	3687
168	748	3682
169	753	3678
170	757	3674
171	762	3668
172	767	3667
173	771	3663
174	776	3658
175	780	3656
176	785	3651
177	789	3646
178	793	3641
179	798	3637
180	802	3633
181	807	3628
182	811	3624
183	816	3619
184	821	3617
185	825	3613
186	830	3608
187	834	3603
188	838	3597
189	843	3594
190	847	3588
191	851	3583
192	855	3578
193	860	3573
194	864	3568
195	868	3563
196	872	3557
197	877	3552
198	881	3547
199	885	3541
200	890	3538
201	895	3535
202	899	3531
203	904	3530
204	910	3530
205	915	3527
206	920	3524
207	925	3522
208	929	3519
209	934	3517
210	939	3514
211	944	3512
212	950	3510
213	954	3506
214	959	3502
215	964	3499
216	969	3496
217	974	3493
218	978	3490
219	983	3485
220	987	3481
221	992	3478
222	996	3473
223	1001	3469
224	1006	3465
225	1010	3461
226	1015	3458
227	1019	3453
228	1024	3448
229	1028	3443
230	1032	3438
231	1037	3434
232	1041	3429
233	1046	3426
234	1051	3422
235	1055	3417
236	1060	3413
237	1064	3408
238	1068	3403
239	1073	3398
240	1077	3393
241	1081	3388
242	1086	3383
243	1090	3380
244	1095	3375
245	1099	3369
246	1103	3365
247	1108	3360
248	1112	3353
249	1116	3348
250	1120	3342
251	1124	3337
252	1128	3331
253	1132	3326
254	1137	3321
255	1142	3318
256	1146	3314
257	1150	3309
258	1155	3305
259	1160	3301
260	1164	3297
261	1169	3293
262	1174	3290
263	1178	3285
264	1183	3281
265	1187	3276
266	1191	3271
267	1195	3266
268	1200	3262
269	1204	3257
270	1209	3252
271	1213	3247
272	1217	3242
273	1222	3238
274	1226	3233
275	1231	3229
276	1235	3224
277	1239	3220
278	1244	3215
279	1249	3211
280	1253	3207
281	1257	3202
282	1262	3198
283	1266	3194
284	1271	3189
285	1275	3184
286	1280	3180
287	1284	3175
288	1288	3170
289	1293	3166
290	1297	3161
291	1301	3156
292	1306	3151
293	1311	3148
294	1315	3143
295	1319	3138
296	1324	3134
297	1328	3130
298	1333	3125
299	1337	3121
300	1341	3116
301	1346	3111
302	1350	3106
303	1354	3101
304	1359	3097
305	1363	3092
306	1367	3087
307	1372	3082
308	1376	3078
309	1380	3073
310	1385	3069
311	1389	3064
312	1394	3059
313	1398	3055
314	1403	3051
315	1407	3046
316	1412	3042
317	1416	3038
