iter	Logloss
0	0.6825261597
1	0.6724983359
2	0.6633229249
3	0.6542939243
4	0.6458289928
5	0.6378596111
6	0.6301356804
7	0.6229282601
8	0.6163692728
9	0.609913313
10	0.6037987372
11	0.5979472397
12	0.5923356494
13	0.587179304
14	0.5820948851
15	0.5773469586
16	0.5729705977
17	0.5687180978
18	0.5648346828
19	0.5612118492
20	0.5577702397
21	0.5544253086
22	0.5510847146
23	0.5479467769
24	0.545133756
25	0.5423863194
26	0.5395916621
27	0.5369660425
28	0.5345243852
29	0.532204159
30	0.5300604856
31	0.5280862518
32	0.5260976642
33	0.5241736023
34	0.522296075
35	0.5207227045
36	0.5191392015
37	0.5175408002
38	0.516079672
39	0.5147113103
40	0.5134784589
41	0.512206876
42	0.5109659695
43	0.5098176698
44	0.5087590817
45	0.5077439196
46	0.5067018331
47	0.5056444913
48	0.5048939251
49	0.5039780109
50	0.5031961793
51	0.5023234189
52	0.5016704088
53	0.500923868
54	0.5002572015
55	0.499417247
56	0.4986609185
57	0.498044857
58	0.4974814097
59	0.4968554022
60	0.4963030471
61	0.4956514057
62	0.4951107445
63	0.4946120741
64	0.4940980687
65	0.4935947558
66	0.4931040094
67	0.4925605711
68	0.4920892216
69	0.4915579045
70	0.4911491592
71	0.4907232097
72	0.4902451393
73	0.4898792537
74	0.4895531118
75	0.4891537773
76	0.4887523506
77	0.4884672271
78	0.4880644812
79	0.4877753692
80	0.4874329186
81	0.4870387794
82	0.4867011806
83	0.486369387
84	0.4860748802
85	0.4856937519
86	0.4852644598
87	0.4849770881
88	0.4846351696
89	0.4842975763
90	0.484025265
91	0.4837859674
92	0.4835431116
93	0.4832519968
94	0.4829793317
95	0.4827269104
96	0.4824324075
97	0.4822155421
98	0.4819471775
99	0.481681356
100	0.4814032469
101	0.4810613303
102	0.4807729575
103	0.480552157
104	0.4803582744
105	0.4801003762
106	0.4799674226
107	0.4797040163
108	0.4794541916
109	0.4792860434
110	0.4789364367
111	0.4787325902
112	0.4784121777
113	0.4780706082
114	0.4778382611
115	0.4776409701
116	0.4773542251
117	0.4771175858
118	0.4769228121
119	0.476727623
120	0.4763906817
121	0.4761540047
122	0.4759828294
123	0.4758185173
124	0.4755806787
125	0.4752135061
126	0.4749159307
127	0.4747143004
128	0.4745502825
129	0.4743794793
130	0.474156576
131	0.4738985953
132	0.4736746849
133	0.4734071028
134	0.4731750171
135	0.4728885036
136	0.4726938758
137	0.4724682986
138	0.4722053034
139	0.4719838213
140	0.4717864518
141	0.4715539548
142	0.4713635551
143	0.4711995111
144	0.4709680953
145	0.4707717618
146	0.4705586341
147	0.4703585858
148	0.4702118115
149	0.469965888
150	0.4697609451
151	0.4695380551
152	0.4692748248
153	0.4690387234
154	0.4687919004
155	0.4685402518
156	0.4683894783
157	0.4682282666
158	0.4680626548
159	0.4678910928
160	0.4677022563
161	0.467553394
162	0.4672755803
163	0.4671567627
164	0.4669234609
165	0.4667882551
166	0.4666191897
167	0.466332487
168	0.4661198601
169	0.4659050826
170	0.4656296525
171	0.4653814284
172	0.4652285756
173	0.464958927
174	0.4647717978
175	0.4645493133
176	0.4643898944
177	0.4641280853
178	0.4639773119
179	0.4637829404
180	0.4635952843
181	0.4633989117
182	0.4631919902
183	0.4630352134
184	0.4628641254
185	0.4626615554
186	0.4625070059
187	0.4622474973
188	0.4620383046
189	0.4617935048
190	0.4615467743
191	0.461369397
192	0.4612212352
193	0.4610610923
194	0.4607640168
195	0.4606048261
196	0.4603597376
197	0.4601448817
198	0.4599666505
199	0.4598166227
200	0.4596028863
201	0.4594535739
202	0.459234717
203	0.459034192
204	0.4588573216
205	0.4586174165
206	0.4584489009
207	0.4582539905
208	0.4580462
209	0.4578529111
210	0.4577523399
211	0.4575343766
212	0.4573117875
213	0.4571861145
214	0.4569759071
215	0.4568444704
216	0.4566366819
217	0.4564700057
218	0.4561868168
219	0.4559480152
220	0.4557619078
221	0.4555807921
222	0.4554816471
223	0.4552743162
224	0.4550330089
225	0.4548569869
226	0.4546962831
227	0.4545062772
228	0.4544148944
229	0.4542612244
230	0.4540639213
231	0.4539392496
232	0.4536620685
233	0.4534958654
234	0.4532268126
235	0.4530664752
236	0.4527669777
237	0.4524774877
238	0.4523041594
239	0.4520677933
240	0.4519455299
241	0.4517436374
242	0.4516325168
243	0.4514575149
244	0.4513284758
245	0.4512303706
246	0.4510222582
247	0.4508320812
248	0.4505780825
249	0.4504196648
250	0.4502819276
251	0.4501318307
252	0.4499529871
253	0.4497755164
254	0.4496128093
255	0.4494663286
256	0.4493189778
257	0.4491026681
258	0.4489513073
259	0.4488190281
260	0.4485800933
261	0.4483156849
262	0.4480743853
263	0.4478344094
264	0.4476156875
265	0.4473941503
266	0.4472379872
267	0.4469966923
268	0.4468216438
269	0.4465990079
270	0.4464600936
271	0.4463070332
272	0.446153826
273	0.4459586075
274	0.4458667359
275	0.4456477212
276	0.4454676822
277	0.4453019918
278	0.4451355506
279	0.444903883
280	0.4446959599
281	0.4445114309
282	0.4443637868
283	0.444125844
284	0.443968772
285	0.4437493275
286	0.443527707
287	0.4432052868
288	0.4430224482
289	0.4428522159
290	0.4427097158
291	0.4425198773
292	0.4423676828
293	0.4421791024
294	0.4419338751
295	0.4417878532
296	0.4415339953
297	0.4413028174
298	0.4411502085
299	0.4409245557
300	0.4407322866
301	0.4405602398
302	0.4404132024
303	0.4403185112
304	0.4401959345
305	0.4400366119
306	0.4398860616
307	0.4397038652
308	0.4395523569
309	0.4394293506
310	0.4391790835
311	0.4389754016
312	0.4387458291
313	0.4386407494
314	0.4385636794
315	0.4383845423
316	0.4382209367
317	0.4380607768
318	0.4377912585
319	0.437688104
320	0.4375255165
321	0.4373330235
322	0.4371642187
323	0.4370205945
324	0.4368935822
325	0.4367847928
326	0.4366791035
327	0.4364483334
328	0.4362654045
329	0.4360860836
330	0.4359320023
331	0.4357758542
332	0.4356274776
333	0.4354265516
334	0.4352668818
335	0.4351551376
336	0.4349589951
337	0.4348454679
338	0.4347140472
339	0.4344744846
340	0.4343001259
341	0.4341506139
342	0.4339306545
343	0.4337023468
344	0.4335487406
345	0.433425689
346	0.4332444166
347	0.4330581664
348	0.4329690551
349	0.4328093997
350	0.4325650939
351	0.4324181457
352	0.4322632275
353	0.432125136
354	0.4318918972
355	0.4316897929
356	0.4314210625
357	0.4312661071
358	0.4310603111
359	0.4308715576
360	0.4306953797
