iter	Passed	Remaining
0	4	4345
1	8	4279
2	11	3899
3	15	3818
4	19	3949
5	24	4065
6	28	4068
7	33	4135
8	36	4005
9	40	4030
10	44	4033
11	49	4056
12	53	4059
13	57	4059
14	61	4042
15	65	4038
16	69	4034
17	74	4049
18	78	4059
19	82	4058
20	87	4056
21	91	4050
22	94	4034
23	99	4035
24	103	4027
25	107	4036
26	111	4022
27	115	4021
28	122	4086
29	126	4090
30	130	4084
31	136	4115
32	140	4117
33	144	4118
34	150	4149
35	155	4156
36	160	4176
37	165	4183
38	170	4192
39	174	4177
40	178	4168
41	182	4172
42	187	4174
43	192	4176
44	196	4170
45	201	4183
46	206	4181
47	210	4179
48	213	4150
49	218	4156
50	223	4163
51	227	4156
52	233	4167
53	238	4174
54	242	4168
55	247	4165
56	252	4178
57	257	4174
58	261	4165
59	266	4169
60	271	4180
61	276	4178
62	282	4208
63	287	4202
64	292	4202
65	297	4204
66	301	4202
67	306	4195
68	310	4190
69	315	4188
70	319	4184
71	324	4176
72	328	4170
73	332	4165
74	337	4164
75	342	4158
76	347	4165
77	352	4163
78	357	4169
79	362	4169
80	366	4163
81	371	4158
82	375	4152
83	380	4151
84	385	4145
85	389	4138
86	393	4129
87	398	4126
88	402	4119
89	406	4113
90	411	4111
91	416	4108
92	420	4105
93	427	4118
94	432	4120
95	437	4117
96	441	4111
97	449	4138
98	454	4136
99	458	4129
100	464	4131
101	468	4126
102	473	4123
103	479	4128
104	484	4126
105	490	4132
106	495	4137
107	500	4134
108	505	4131
109	510	4128
110	515	4128
111	519	4122
112	524	4113
113	528	4108
114	532	4101
115	537	4094
116	541	4085
117	546	4082
118	550	4077
119	554	4068
120	559	4066
121	564	4061
122	569	4057
123	574	4057
124	580	4062
125	585	4058
126	589	4051
127	594	4047
128	598	4040
129	602	4033
130	607	4027
131	611	4023
132	615	4015
133	620	4006
134	624	4003
135	629	3999
136	633	3992
137	637	3983
138	642	3982
139	647	3976
140	652	3974
141	657	3971
142	662	3968
143	666	3962
144	670	3953
145	675	3949
146	679	3944
147	683	3935
148	687	3927
149	692	3921
150	696	3915
151	700	3906
152	704	3901
153	709	3898
154	713	3891
155	717	3883
156	722	3876
157	726	3871
158	730	3865
159	734	3857
160	739	3851
161	743	3848
162	748	3842
163	752	3835
164	757	3832
165	761	3828
166	766	3822
167	770	3815
168	775	3812
169	779	3806
170	783	3798
171	788	3795
172	793	3792
173	797	3786
174	801	3779
175	806	3776
176	811	3771
177	815	3765
178	820	3761
179	824	3757
180	829	3752
181	833	3745
182	838	3741
183	842	3736
184	846	3730
185	851	3725
186	856	3722
187	860	3717
188	865	3711
189	869	3707
190	874	3702
191	877	3694
192	882	3688
193	887	3685
194	891	3681
195	896	3675
196	899	3668
197	904	3664
198	909	3659
199	914	3656
200	918	3651
201	922	3645
202	927	3639
203	931	3634
204	937	3634
205	941	3629
206	945	3623
207	949	3615
208	954	3613
209	959	3608
210	963	3601
211	969	3602
212	974	3598
213	978	3594
214	984	3593
215	989	3591
216	993	3586
217	1000	3589
218	1005	3584
219	1009	3579
220	1014	3575
221	1019	3573
222	1024	3569
223	1028	3563
224	1032	3557
225	1037	3554
226	1042	3549
227	1046	3542
228	1051	3540
229	1056	3536
230	1060	3530
231	1064	3524
232	1070	3522
233	1074	3516
234	1078	3510
235	1083	3507
236	1088	3502
237	1092	3496
238	1095	3488
239	1100	3486
240	1105	3481
241	1109	3475
242	1114	3470
243	1119	3467
244	1123	3462
245	1127	3455
246	1132	3451
247	1136	3445
248	1140	3441
249	1144	3434
250	1150	3431
251	1154	3425
252	1158	3420
253	1162	3414
254	1168	3412
255	1172	3406
256	1176	3400
257	1181	3397
258	1185	3392
259	1190	3387
260	1195	3385
261	1204	3391
262	1208	3386
263	1213	3382
264	1217	3377
265	1221	3371
266	1226	3365
267	1231	3362
268	1235	3357
269	1239	3351
270	1243	3344
271	1248	3340
272	1252	3336
273	1256	3329
274	1261	3325
275	1265	3320
276	1270	3314
277	1274	3308
278	1277	3302
279	1282	3298
280	1286	3292
281	1290	3286
282	1294	3280
283	1299	3275
284	1303	3270
285	1307	3265
286	1312	3261
287	1317	3256
288	1321	3251
289	1325	3245
290	1330	3241
291	1334	3236
292	1338	3230
293	1342	3224
294	1347	3220
295	1352	3215
296	1355	3209
297	1361	3206
298	1365	3202
299	1369	3196
300	1373	3190
301	1379	3187
302	1383	3183
303	1387	3177
304	1392	3173
305	1397	3169
306	1401	3164
307	1405	3158
308	1411	3156
309	1416	3151
310	1420	3146
311	1424	3141
312	1429	3137
313	1434	3133
314	1438	3128
315	1443	3125
316	1448	3120
317	1452	3115
318	1457	3111
319	1462	3107
320	1466	3101
321	1470	3097
322	1476	3093
323	1480	3088
324	1485	3084
325	1489	3079
326	1494	3075
327	1498	3070
328	1503	3065
329	1507	3061
330	1512	3056
331	1516	3051
332	1520	3046
333	1526	3044
334	1531	3040
335	1536	3036
336	1541	3032
337	1546	3028
338	1551	3025
339	1556	3021
340	1561	3017
341	1566	3013
342	1572	3011
343	1578	3010
344	1583	3006
345	1587	3001
346	1593	2997
347	1599	2997
348	1604	2993
349	1609	2989
350	1615	2986
351	1622	2987
352	1628	2985
353	1637	2987
354	1643	2986
355	1648	2982
356	1655	2981
357	1660	2977
358	1666	2974
359	1673	2974
360	1678	2971
361	1683	2967
362	1689	2964
363	1694	2960
364	1699	2957
365	1705	2954
366	1710	2949
367	1715	2945
368	1721	2943
369	1728	2942
370	1735	2942
371	1741	2939
372	1748	2938
373	1754	2937
374	1760	2934
375	1766	2931
376	1772	2928
377	1777	2925
378	1783	2922
379	1789	2919
380	1795	2916
381	1800	2913
382	1807	2911
383	1812	2907
384	1818	2905
385	1824	2902
386	1830	2899
387	1845	2910
388	1855	2914
389	1865	2917
390	1874	2919
391	1885	2924
392	1892	2922
393	1897	2918
394	1904	2916
395	1910	2913
396	1919	2915
397	1926	2914
398	1933	2912
399	1939	2909
400	1945	2906
401	1951	2903
402	1959	2902
403	1967	2901
404	1973	2898
405	1978	2894
406	1984	2891
407	1990	2888
408	1996	2884
409	2002	2881
410	2007	2877
411	2013	2874
412	2020	2871
413	2025	2867
414	2031	2864
415	2038	2861
416	2044	2858
417	2051	2856
418	2057	2853
419	2065	2852
420	2071	2849
421	2077	2845
422	2083	2842
423	2089	2838
424	2095	2834
425	2102	2832
426	2107	2827
427	2114	2825
428	2120	2822
429	2125	2817
430	2131	2814
431	2137	2810
432	2143	2806
433	2149	2803
434	2154	2798
435	2159	2793
436	2165	2789
437	2170	2785
438	2176	2781
439	2181	2777
440	2186	2772
441	2192	2767
442	2198	2764
443	2203	2759
444	2208	2754
445	2214	2750
446	2219	2745
447	2224	2740
448	2229	2736
449	2234	2731
450	2239	2726
451	2244	2720
452	2249	2716
453	2254	2711
454	2259	2706
455	2264	2701
456	2269	2696
457	2274	2691
458	2279	2686
459	2284	2681
460	2289	2676
461	2294	2671
462	2299	2666
463	2303	2660
464	2307	2655
465	2312	2650
466	2317	2645
467	2322	2640
468	2327	2635
469	2332	2630
470	2337	2625
471	2341	2619
472	2346	2614
473	2350	2608
474	2355	2603
475	2359	2597
476	2364	2592
477	2369	2588
478	2374	2582
479	2379	2577
480	2384	2573
481	2389	2568
482	2394	2563
483	2399	2558
484	2403	2552
485	2408	2547
486	2413	2542
487	2417	2536
488	2422	2531
489	2427	2526
490	2432	2521
491	2436	2516
492	2442	2511
493	2446	2506
494	2451	2500
495	2455	2495
496	2460	2489
497	2464	2484
498	2469	2478
499	2474	2474
500	2479	2469
501	2483	2463
502	2488	2458
503	2493	2453
504	2497	2448
505	2502	2443
506	2507	2437
507	2511	2432
508	2515	2426
509	2520	2421
510	2524	2416
511	2529	2410
512	2533	2404
513	2537	2398
514	2541	2393
515	2545	2387
516	2549	2381
517	2553	2375
518	2557	2370
519	2561	2364
520	2565	2358
521	2569	2352
522	2574	2347
523	2578	2342
524	2582	2336
525	2586	2331
526	2591	2325
527	2596	2320
528	2599	2314
529	2604	2309
530	2609	2304
531	2613	2298
532	2617	2293
533	2621	2288
534	2626	2282
535	2629	2276
536	2633	2270
537	2637	2265
538	2641	2259
539	2645	2253
540	2649	2248
541	2654	2243
542	2659	2238
543	2664	2233
544	2669	2228
545	2674	2223
546	2678	2218
547	2683	2213
548	2688	2208
549	2692	2203
550	2697	2198
551	2702	2193
552	2707	2188
553	2712	2183
554	2716	2178
555	2721	2173
556	2725	2167
557	2729	2162
558	2734	2157
559	2739	2152
560	2744	2147
561	2749	2142
562	2753	2137
563	2758	2132
564	2762	2127
565	2770	2124
566	2779	2122
567	2785	2118
568	2791	2114
569	2796	2109
570	2802	2105
571	2808	2101
572	2814	2097
573	2820	2093
574	2826	2088
575	2832	2084
576	2838	2080
577	2843	2076
578	2849	2072
579	2855	2067
580	2860	2063
581	2867	2059
582	2874	2056
583	2880	2052
584	2888	2048
585	2893	2044
586	2901	2041
587	2907	2036
588	2913	2033
589	2919	2029
590	2926	2025
591	2934	2022
592	2941	2018
593	2947	2014
594	2953	2010
595	2958	2005
596	2963	2000
597	2969	1996
598	2975	1992
599	2982	1988
600	2987	1983
601	2993	1979
602	3000	1975
603	3005	1970
604	3011	1966
605	3017	1961
606	3022	1957
607	3028	1952
608	3034	1948
609	3041	1944
610	3046	1939
611	3053	1935
612	3058	1930
613	3064	1926
614	3070	1922
615	3076	1917
616	3082	1913
617	3089	1909
618	3096	1906
619	3102	1901
620	3108	1897
621	3114	1892
622	3120	1888
623	3125	1883
624	3131	1879
625	3137	1874
626	3142	1869
627	3149	1865
628	3154	1860
629	3159	1855
630	3165	1850
631	3170	1846
632	3175	1841
633	3181	1836
634	3188	1832
635	3194	1828
636	3199	1823
637	3204	1818
638	3209	1813
639	3215	1808
640	3219	1803
641	3224	1798
642	3230	1793
643	3235	1788
644	3239	1783
645	3244	1778
646	3249	1772
647	3253	1767
648	3258	1762
649	3264	1757
650	3269	1752
651	3273	1747
652	3278	1742
653	3283	1737
654	3288	1731
655	3293	1727
656	3299	1722
657	3304	1717
658	3308	1712
659	3314	1707
660	3318	1701
661	3322	1696
662	3327	1691
663	3331	1685
664	3335	1680
665	3339	1674
666	3344	1669
667	3348	1664
668	3354	1659
669	3360	1655
670	3365	1650
671	3369	1644
672	3373	1639
673	3378	1634
674	3382	1628
675	3386	1622
676	3390	1617
677	3395	1612
678	3400	1607
679	3404	1602
680	3409	1597
681	3413	1591
682	3417	1586
683	3421	1580
684	3426	1575
685	3430	1570
686	3434	1564
687	3438	1559
688	3442	1553
689	3446	1548
690	3450	1543
691	3454	1537
692	3459	1532
693	3463	1527
694	3467	1521
695	3471	1516
696	3476	1511
697	3480	1505
698	3484	1500
699	3488	1495
700	3492	1489
701	3496	1484
702	3500	1479
703	3504	1473
704	3509	1468
705	3513	1463
706	3518	1457
707	3522	1452
708	3526	1447
709	3531	1442
710	3535	1437
711	3540	1432
712	3544	1426
713	3548	1421
714	3552	1416
715	3557	1410
716	3561	1405
717	3565	1400
718	3570	1395
719	3574	1389
720	3578	1384
721	3582	1379
722	3586	1374
723	3590	1368
724	3594	1363
725	3598	1358
726	3603	1352
727	3607	1347
728	3611	1342
729	3615	1337
730	3619	1332
731	3624	1326
732	3628	1321
733	3631	1316
734	3635	1310
735	3640	1305
736	3644	1300
737	3648	1295
738	3652	1289
739	3656	1284
740	3660	1279
741	3664	1274
742	3669	1269
743	3674	1264
744	3678	1259
745	3682	1253
746	3686	1248
747	3690	1243
748	3695	1238
749	3698	1232
750	3703	1227
751	3707	1222
752	3711	1217
753	3715	1212
754	3719	1207
755	3723	1201
756	3727	1196
757	3731	1191
758	3736	1186
759	3740	1181
760	3744	1176
761	3748	1170
762	3752	1165
763	3756	1160
764	3760	1155
765	3765	1150
766	3769	1145
767	3774	1140
768	3778	1134
769	3782	1129
770	3786	1124
771	3790	1119
772	3794	1114
773	3798	1109
774	3803	1104
775	3807	1099
776	3812	1094
777	3817	1089
778	3821	1084
779	3825	1079
780	3829	1073
781	3833	1068
782	3838	1063
783	3842	1058
784	3846	1053
785	3850	1048
786	3854	1043
787	3858	1038
788	3862	1032
789	3866	1027
790	3871	1022
791	3875	1017
792	3879	1012
793	3883	1007
794	3887	1002
795	3891	997
796	3895	992
797	3899	987
798	3903	982
799	3908	977
800	3912	971
801	3916	966
802	3920	961
803	3924	956
804	3928	951
805	3931	946
806	3936	941
807	3940	936
808	3944	931
809	3949	926
810	3954	921
811	3958	916
812	3962	911
813	3966	906
814	3970	901
815	3974	896
816	3978	891
817	3982	886
818	3986	881
819	3990	876
820	3994	870
821	3998	865
822	4003	861
823	4007	856
824	4011	851
825	4015	845
826	4020	841
827	4024	836
828	4028	831
829	4033	826
830	4037	821
831	4040	815
832	4045	810
833	4049	805
834	4053	800
835	4057	795
836	4061	790
837	4065	785
838	4069	780
839	4073	775
840	4078	771
841	4082	766
842	4086	761
843	4090	756
844	4094	751
845	4098	746
846	4102	741
847	4106	736
848	4110	731
849	4114	726
850	4118	721
851	4123	716
852	4128	711
853	4133	706
854	4138	701
855	4142	696
856	4147	692
857	4152	687
858	4158	682
859	4162	677
860	4167	672
861	4172	667
862	4176	663
863	4180	658
864	4185	653
865	4190	648
866	4194	643
867	4199	638
868	4204	633
869	4209	628
870	4213	624
871	4218	619
872	4223	614
873	4227	609
874	4233	604
875	4238	599
876	4242	595
877	4247	590
878	4251	585
879	4256	580
880	4260	575
881	4264	570
882	4268	565
883	4273	560
884	4277	555
885	4281	550
886	4285	546
887	4290	541
888	4294	536
889	4298	531
890	4302	526
891	4306	521
892	4310	516
893	4314	511
894	4319	506
895	4323	501
896	4327	496
897	4331	492
898	4336	487
899	4341	482
900	4345	477
901	4349	472
902	4353	467
903	4357	462
904	4361	457
905	4365	452
906	4370	448
907	4374	443
908	4378	438
909	4382	433
910	4386	428
911	4390	423
912	4394	418
913	4398	413
914	4403	409
915	4406	404
916	4410	399
917	4414	394
918	4419	389
919	4423	384
920	4427	379
921	4431	374
922	4435	370
923	4439	365
924	4443	360
925	4447	355
926	4451	350
927	4455	345
928	4460	340
929	4464	336
930	4468	331
931	4472	326
932	4476	321
933	4480	316
934	4485	311
935	4489	306
936	4493	302
937	4497	297
938	4502	292
939	4506	287
940	4511	282
941	4515	278
942	4519	273
943	4523	268
944	4527	263
945	4533	258
946	4537	253
947	4541	249
948	4545	244
949	4550	239
950	4554	234
951	4558	229
952	4562	225
953	4566	220
954	4570	215
955	4574	210
956	4578	205
957	4583	200
958	4587	196
959	4591	191
960	4595	186
961	4599	181
962	4603	176
963	4608	172
964	4612	167
965	4616	162
966	4621	157
967	4625	152
968	4629	148
969	4633	143
970	4637	138
971	4641	133
972	4645	128
973	4650	124
974	4654	119
975	4660	114
976	4665	109
977	4670	105
978	4674	100
979	4680	95
980	4686	90
981	4690	85
982	4697	81
983	4702	76
984	4707	71
985	4712	66
986	4717	62
987	4722	57
988	4727	52
989	4733	47
990	4738	43
991	4742	38
992	4747	33
993	4752	28
994	4757	23
995	4762	19
996	4768	14
997	4772	9
998	4778	4
999	4784	0
